,id,host_id,host_listings_count,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
26631,4733873,24441809,1.0,4,1.0,2.0,2.0,500.0,1,1,1125,0,,,,,,,,1,
26632,19960443,140821239,1.0,3,1.0,1.0,1.0,100.0,2,2,31,25,99.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1.7
26633,25890623,63365620,1.0,4,1.0,1.0,5.0,60.0,2,1,1125,16,94.0,10.0,9.0,10.0,10.0,10.0,10.0,1,3.97
26634,27661175,67987135,7.0,6,1.0,2.0,2.0,139.0,4,1,1125,7,89.0,9.0,10.0,10.0,10.0,8.0,9.0,7,3.33
26635,22059272,25330183,1.0,2,1.0,1.0,2.0,31.0,1,3,15,2,80.0,9.0,8.0,10.0,10.0,9.0,9.0,1,0.37
26636,17367004,572879,2.0,5,1.0,2.0,3.0,289.0,4,2,1125,84,89.0,9.0,9.0,10.0,10.0,10.0,9.0,1,4.18
26637,24012771,14743478,4.0,5,1.0,2.0,2.0,350.0,2,2,1125,2,100.0,10.0,10.0,10.0,10.0,10.0,9.0,4,0.27
26638,23004287,166204258,1.0,1,1.0,1.0,1.0,27.0,1,1,7,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.11
26639,7206568,37735816,1.0,2,1.0,1.0,1.0,65.0,2,3,7,93,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.33
26640,11947067,63790712,2.0,1,1.0,2.0,3.0,45.0,1,9,13,12,96.0,9.0,9.0,10.0,10.0,10.0,10.0,2,0.38
26641,3783016,3716641,8.0,3,1.0,0.0,1.0,79.0,2,30,1125,15,96.0,10.0,10.0,10.0,10.0,10.0,9.0,8,0.31
26642,20359268,5897369,1.0,2,1.0,1.0,1.0,150.0,1,1,1125,9,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.63
26643,24065326,16835514,1.0,3,1.0,1.0,1.0,250.0,1,3,15,8,100.0,10.0,10.0,9.0,10.0,10.0,10.0,1,1.15
26644,9737840,40169737,1.0,6,2.0,2.0,3.0,300.0,4,1,1125,218,93.0,9.0,9.0,9.0,10.0,10.0,9.0,1,6.12
26645,28716078,198861577,18.0,6,2.0,3.0,3.0,305.0,1,30,1125,0,,,,,,,,16,
26646,6246010,9922972,6.0,2,1.0,1.0,2.0,30.0,1,1,1125,150,89.0,9.0,9.0,10.0,9.0,9.0,9.0,6,3.52
26647,12713289,25076118,1.0,2,1.0,1.0,1.0,80.0,2,3,1125,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.13
26648,23584115,49523787,1.0,3,1.0,1.0,1.0,75.0,1,1,14,19,85.0,9.0,8.0,10.0,10.0,10.0,9.0,1,2.31
26649,4900034,14289427,3.0,2,1.0,1.0,1.0,125.0,1,5,1125,7,100.0,10.0,9.0,10.0,10.0,10.0,9.0,3,0.15
26650,8760003,45937698,1.0,1,1.0,1.0,1.0,35.0,1,1,25,9,93.0,10.0,10.0,9.0,10.0,10.0,9.0,1,0.24
26651,3835766,18397763,7.0,2,2.0,1.0,1.0,57.0,1,2,1125,36,91.0,10.0,9.0,10.0,10.0,9.0,9.0,7,0.7
26652,17211908,23776693,2.0,1,1.0,1.0,1.0,45.0,1,2,28,43,97.0,10.0,10.0,10.0,10.0,9.0,10.0,2,2.5
26653,16056607,12743690,2.0,1,1.0,1.0,1.0,25.0,1,2,20,19,98.0,10.0,9.0,10.0,10.0,9.0,10.0,2,0.81
26654,9703075,38014669,2.0,3,1.0,2.0,2.0,110.0,2,7,1125,32,96.0,10.0,10.0,10.0,10.0,9.0,10.0,2,1.0
